Date,Altitude,Latitude,Longitude,ETo,Rn,Rs,max_temp,min_temp,mean_temp,max_RH,min_RH,mean_RH,U2,n/N,rainfall
8/4/1959,18.288,38°32',121°46',263.00,,667.00,88.00,54.00,71.00,100.00,22.00,61.00,136.00,1.00,
8/5/1959,18.288,38°32',121°46',286.00,,674.00,94.00,56.00,75.00,100.00,16.00,58.00,94.00,1.00,
8/6/1959,18.288,38°32',121°46',221.00,,651.00,101.00,60.00,80.50,94.00,14.00,54.00,81.00,1.00,
8/7/1959,18.288,38°32',121°46',276.00,,632.00,101.00,67.00,84.00,86.00,18.00,52.00,110.00,0.98,
8/8/1959,18.288,38°32',121°46',305.00,,642.00,98.00,60.00,79.00,100.00,24.00,62.00,130.00,0.98,
8/9/1959,18.288,38°32',121°46',258.00,,661.00,96.00,54.00,75.00,100.00,26.00,63.00,119.00,1.00,
8/10/1959,18.288,38°32',121°46',269.00,,665.00,94.00,52.00,73.00,95.00,14.00,54.50,116.00,1.00,
8/11/1959,18.288,38°32',121°46',248.00,,648.00,97.00,55.00,76.00,94.00,8.00,51.00,87.00,1.00,
8/12/1959,18.288,38°32',121°46',223.00,,597.00,95.00,60.00,77.50,79.00,12.00,45.50,96.00,1.00,
8/13/1959,18.288,38°32',121°46',256.00,,636.00,91.00,54.00,72.50,100.00,16.00,58.00,119.00,1.00,
8/14/1959,18.288,38°32',121°46',242.00,,584.00,89.00,55.00,72.00,100.00,20.00,60.00,138.00,1.00,
8/15/1959,18.288,38°32',121°46',242.00,,637.00,91.00,56.00,73.50,90.00,18.00,54.00,123.00,1.00,
8/16/1959,18.288,38°32',121°46',250.00,,626.00,89.00,54.00,71.50,100.00,20.00,60.00,172.00,1.00,
8/17/1959,18.288,38°32',121°46',270.00,,642.00,86.00,54.00,70.00,100.00,31.00,65.50,198.00,1.00,
8/18/1959,18.288,38°32',121°46',220.00,,618.00,75.00,52.00,63.50,100.00,41.00,70.50,284.00,1.00,
8/19/1959,18.288,38°32',121°46',156.00,,466.00,72.00,52.00,62.00,100.00,41.00,70.50,212.00,0.91,
8/20/1959,18.288,38°32',121°46',165.00,,554.00,72.00,46.00,59.00,100.00,37.00,68.50,85.00,0.99,
8/21/1959,18.288,38°32',121°46',197.00,,630.00,80.00,50.00,65.00,91.00,21.00,56.00,80.00,1.00,
8/22/1959,18.288,38°32',121°46',196.00,,643.00,90.00,54.00,72.00,69.00,13.00,41.00,69.00,1.00,
8/23/1959,18.288,38°32',121°46',207.00,,595.00,96.00,54.00,75.00,93.00,14.00,53.50,125.00,0.95,0.01
8/24/1959,18.288,38°32',121°46',223.00,,514.00,95.00,54.00,74.50,97.00,19.00,58.00,90.00,0.68,
8/25/1959,18.288,38°32',121°46',275.00,,622.00,96.00,54.00,75.00,100.00,11.00,55.50,125.00,1.00,
8/26/1959,18.288,38°32',121°46',253.00,,630.00,87.00,47.00,67.00,100.00,22.00,61.00,149.00,1.00,
8/27/1959,18.288,38°32',121°46',216.00,,635.00,82.00,50.00,66.00,100.00,25.00,62.50,141.00,1.00,
8/28/1959,18.288,38°32',121°46',208.00,,613.00,86.00,48.00,67.00,100.00,19.00,59.50,113.00,1.00,
8/29/1959,18.288,38°32',121°46',174.00,,567.00,86.00,48.00,67.00,100.00,19.00,59.50,74.00,0.99,
8/30/1959,18.288,38°32',121°46',212.00,,619.00,92.00,47.00,69.50,100.00,11.00,55.50,70.00,1.00,
8/31/1959,18.288,38°32',121°46',219.00,,615.00,91.00,50.00,70.50,93.00,7.00,50.00,86.00,1.00,
9/1/1959,18.288,38°32',121°46',248.00,,575.00,97.00,52.00,74.50,95.00,7.00,51.00,108.00,1.00,
9/2/1959,18.288,38°32',121°46',224.00,,581.00,84.00,51.00,67.50,100.00,19.00,59.50,167.00,1.00,
9/3/1959,18.288,38°32',121°46',192.00,,559.00,82.00,50.00,66.00,100.00,22.00,61.00,123.00,0.99,
9/4/1959,18.288,38°32',121°46',184.00,,547.00,87.00,55.00,71.00,100.00,12.00,56.00,93.00,1.00,
9/5/1959,18.288,38°32',121°46',200.00,,544.00,90.00,55.00,72.50,100.00,15.00,57.50,94.00,1.00,
9/6/1959,18.288,38°32',121°46',208.00,,543.00,92.00,57.00,74.50,100.00,18.00,59.00,92.00,1.00,
9/7/1959,18.288,38°32',121°46',227.00,,542.00,94.00,58.00,76.00,100.00,16.00,58.00,98.00,1.00,
9/8/1959,18.288,38°32',121°46',212.00,,536.00,94.00,58.00,76.00,100.00,19.00,59.50,105.00,1.00,
9/9/1959,18.288,38°32',121°46',218.00,,508.00,92.00,56.00,74.00,96.00,18.00,57.00,120.00,1.00,
9/10/1959,18.288,38°32',121°46',234.00,,559.00,85.00,52.00,68.50,96.00,16.00,56.00,156.00,1.00,
9/11/1959,18.288,38°32',121°46',240.00,,530.00,90.00,56.00,73.00,89.00,12.00,50.50,106.00,1.00,
9/12/1959,18.288,38°32',121°46',244.00,,515.00,92.00,57.00,74.50,86.00,12.00,49.00,169.00,1.00,
9/13/1959,18.288,38°32',121°46',204.00,,436.00,81.00,56.00,68.50,86.00,31.00,58.50,171.00,0.98,
9/14/1959,18.288,38°32',121°46',207.00,,410.00,74.00,43.00,58.50,100.00,28.00,64.00,125.00,0.95,0.02
9/15/1959,18.288,38°32',121°46',181.00,,,74.00,45.00,59.50,100.00,22.00,61.00,94.00,1.00,
9/16/1959,18.288,38°32',121°46',156.00,,263.00,73.00,50.00,61.50,100.00,26.00,63.00,122.00,0.99,
9/17/1959,18.288,38°32',121°46',135.00,,230.00,71.00,58.00,64.50,100.00,30.00,65.00,240.00,0.56,1.69
9/18/1959,18.288,38°32',121°46',16.00,,140.00,66.00,55.00,60.50,100.00,100.00,100.00,233.00,0.00,0.16
9/19/1959,18.288,38°32',121°46',127.00,,355.00,77.00,53.00,65.00,100.00,35.00,67.50,67.00,0.93,
9/20/1959,18.288,38°32',121°46',133.00,,375.00,77.00,55.00,66.00,100.00,38.00,69.00,117.00,1.00,
9/21/1959,18.288,38°32',121°46',215.00,,490.00,78.00,49.00,63.50,100.00,28.00,64.00,90.00,1.00,
9/22/1959,18.288,38°32',121°46',165.00,,453.00,82.00,56.00,69.00,100.00,30.00,65.00,100.00,1.00,
9/23/1959,18.288,38°32',121°46',251.00,,370.00,83.00,53.00,68.00,96.00,30.00,63.00,174.00,1.00,
9/24/1959,18.288,38°32',121°46',166.00,,412.00,86.00,52.00,69.00,100.00,26.00,63.00,63.00,1.00,
9/25/1959,18.288,38°32',121°46',194.00,,420.00,84.00,55.00,69.50,78.00,32.00,55.00,165.00,0.98,
9/26/1959,18.288,38°32',121°46',205.00,,438.00,87.00,58.00,72.50,73.00,38.00,55.50,206.00,1.00,
9/27/1959,18.288,38°32',121°46',256.00,,451.00,78.00,59.00,68.50,46.00,24.00,35.00,328.00,1.00,
9/28/1959,18.288,38°32',121°46',245.00,,438.00,76.00,56.00,66.00,39.00,23.00,31.00,392.00,1.00,
9/29/1959,18.288,38°32',121°46',226.00,,419.00,78.00,48.00,63.00,77.00,21.00,49.00,186.00,1.00,
9/30/1959,18.288,38°32',121°46',221.00,,453.00,76.00,56.00,66.00,51.00,23.00,37.00,412.00,1.00,
10/1/1959,18.288,38°32',121°46',243.00,,466.00,77.00,51.00,64.00,49.00,25.00,37.00,253.00,1.00,
10/2/1959,18.288,38°32',121°46',175.00,,473.00,78.00,44.00,61.00,74.00,23.00,48.50,121.00,1.00,
10/3/1959,18.288,38°32',121°46',129.00,,348.00,83.00,44.00,63.50,100.00,22.00,61.00,57.00,1.00,
10/4/1959,18.288,38°32',121°46',121.00,,438.00,79.00,48.00,63.50,100.00,23.00,61.50,65.00,0.98,
10/5/1959,18.288,38°32',121°46',116.00,,404.00,77.00,46.00,61.50,98.00,23.00,60.50,143.00,0.98,
10/6/1959,18.288,38°32',121°46',93.00,,407.00,72.00,48.00,60.00,100.00,32.00,66.00,83.00,1.00,
10/7/1959,18.288,38°32',121°46',187.00,,460.00,76.00,50.00,63.00,97.00,15.00,56.00,131.00,1.00,
10/8/1959,18.288,38°32',121°46',102.00,,342.00,78.00,51.00,64.50,100.00,42.00,71.00,114.00,0.66,
10/9/1959,18.288,38°32',121°46',129.00,,408.00,80.00,56.00,68.00,100.00,47.00,73.50,88.00,0.77,
10/10/1959,18.288,38°32',121°46',183.00,,389.00,87.00,56.00,71.50,100.00,32.00,66.00,109.00,1.00,
10/11/1959,18.288,38°32',121°46',129.00,,324.00,90.00,56.00,73.00,77.00,35.00,56.00,96.00,1.00,
10/12/1959,18.288,38°32',121°46',277.00,,470.00,84.00,60.00,72.00,37.00,13.00,25.00,325.00,1.00,
10/13/1959,18.288,38°32',121°46',190.00,,429.00,86.00,58.00,72.00,57.00,20.00,38.50,95.00,1.00,
10/14/1959,18.288,38°32',121°46',128.00,,427.00,88.00,48.00,68.00,77.00,21.00,49.00,50.00,1.00,
10/15/1959,18.288,38°32',121°46',116.00,,398.00,90.00,51.00,70.50,99.00,21.00,60.00,45.00,1.00,
10/16/1959,18.288,38°32',121°46',155.00,,397.00,87.00,47.00,67.00,96.00,23.00,59.50,71.00,1.00,
10/17/1959,18.288,38°32',121°46',109.00,,376.00,87.00,51.00,69.00,100.00,18.00,59.00,105.00,1.00,
10/18/1959,18.288,38°32',121°46',142.00,,416.00,75.00,45.00,60.00,100.00,32.00,66.00,170.00,1.00,
10/19/1959,18.288,38°32',121°46',93.00,,397.00,74.00,44.00,59.00,100.00,34.00,67.00,90.00,1.00,
10/20/1959,18.288,38°32',121°46',121.00,,381.00,76.00,48.00,62.00,83.00,18.00,50.50,89.00,0.98,
10/21/1959,18.288,38°32',121°46',90.00,,266.00,74.00,51.00,62.50,76.00,39.00,57.50,81.00,0.96,
10/22/1959,18.288,38°32',121°46',174.00,,384.00,86.00,52.00,69.00,90.00,31.00,60.50,57.00,1.00,
10/23/1959,18.288,38°32',121°46',116.00,,365.00,87.00,53.00,70.00,100.00,29.00,64.50,151.00,1.00,
10/24/1959,18.288,38°32',121°46',101.00,,346.00,90.00,56.00,73.00,100.00,29.00,64.50,28.00,1.00,
10/25/1959,18.288,38°32',121°46',113.00,,345.00,89.00,50.00,69.50,100.00,31.00,65.50,85.00,1.00,
10/26/1959,18.288,38°32',121°46',91.00,,343.00,73.00,48.00,60.50,100.00,47.00,73.50,113.00,0.87,
10/27/1959,18.288,38°32',121°46',95.00,,306.00,72.00,48.00,60.00,64.00,31.00,47.50,265.00,0.45,
10/28/1959,18.288,38°32',121°46',202.00,,356.00,76.00,47.00,61.50,31.00,12.00,21.50,492.00,1.00,
10/29/1959,18.288,38°32',121°46',193.00,,374.00,66.00,50.00,58.00,31.00,17.00,24.00,445.00,1.00,
10/30/1959,18.288,38°32',121°46',172.00,,267.00,70.00,49.00,59.50,25.00,14.00,19.50,437.00,0.41,
10/31/1959,18.288,38°32',121°46',117.00,,267.00,72.00,34.00,53.00,77.00,20.00,48.50,77.00,0.29,
11/1/1959,18.288,38°32',121°46',90.00,,326.00,92.00,39.00,65.50,78.00,19.00,48.50,74.00,1.00,
11/2/1959,18.288,38°32',121°46',101.00,,313.00,69.00,42.00,55.50,100.00,29.00,64.50,134.00,1.00,
11/3/1959,18.288,38°32',121°46',49.00,,213.00,61.00,42.00,51.50,100.00,56.00,78.00,126.00,0.34,0.01
11/4/1959,18.288,38°32',121°46',155.00,,334.00,70.00,37.00,53.50,48.00,16.00,32.00,311.00,1.00,
11/5/1959,18.288,38°32',121°46',88.00,,310.00,71.00,37.00,54.00,54.00,22.00,38.00,38.00,0.96,
11/6/1959,18.288,38°32',121°46',109.00,,330.00,73.00,33.00,53.00,77.00,25.00,51.00,80.00,1.00,
11/7/1959,18.288,38°32',121°46',87.00,,335.00,74.00,33.00,53.50,72.00,21.00,46.50,75.00,1.00,
11/8/1959,18.288,38°32',121°46',78.00,,321.00,74.00,35.00,54.50,79.00,23.00,51.00,42.00,1.00,
11/9/1959,18.288,38°32',121°46',66.00,,319.00,73.00,33.00,53.00,64.00,24.00,44.00,37.00,1.00,
11/10/1959,18.288,38°32',121°46',73.00,,316.00,77.00,36.00,56.50,71.00,23.00,47.00,34.00,1.00,
11/11/1959,18.288,38°32',121°46',68.00,,291.00,76.00,33.00,54.50,99.00,28.00,63.50,29.00,1.00,
11/12/1959,18.288,38°32',121°46',58.00,,283.00,76.00,30.00,53.00,100.00,31.00,65.50,38.00,1.00,
11/13/1959,18.288,38°32',121°46',79.00,,303.00,69.00,31.00,50.00,100.00,24.00,62.00,66.00,0.98,
11/14/1959,18.288,38°32',121°46',40.00,,260.00,62.00,28.00,45.00,100.00,35.00,67.50,45.00,0.68,
11/15/1959,18.288,38°32',121°46',50.00,,276.00,66.00,30.00,48.00,100.00,31.00,65.50,35.00,0.79,
11/16/1959,18.288,38°32',121°46',35.00,,219.00,63.00,30.00,46.50,100.00,42.00,71.00,44.00,0.60,
11/17/1959,18.288,38°32',121°46',54.00,,275.00,68.00,32.00,50.00,89.00,31.00,60.00,36.00,1.00,
11/18/1959,18.288,38°32',121°46',52.00,,258.00,64.00,38.00,51.00,100.00,39.00,69.50,68.00,0.98,
11/19/1959,18.288,38°32',121°46',104.00,,280.00,72.00,33.00,52.50,98.00,32.00,65.00,135.00,1.00,
11/20/1959,18.288,38°32',121°46',64.00,,275.00,71.00,52.00,61.50,100.00,32.00,66.00,113.00,1.00,
11/21/1959,18.288,38°32',121°46',92.00,,278.00,68.00,53.00,60.50,36.00,30.00,33.00,361.00,1.00,
11/22/1959,18.288,38°32',121°46',140.00,,286.00,76.00,42.00,59.00,68.00,16.00,42.00,131.00,1.00,
11/23/1959,18.288,38°32',121°46',73.00,,271.00,74.00,36.00,55.00,100.00,35.00,67.50,60.00,1.00,
11/24/1959,18.288,38°32',121°46',58.00,,261.00,72.00,32.00,52.00,94.00,33.00,63.50,45.00,1.00,
11/25/1959,18.288,38°32',121°46',73.00,,249.00,71.00,34.00,52.50,80.00,30.00,55.00,119.00,1.00,
11/26/1959,18.288,38°32',121°46',86.00,,286.00,76.00,32.00,54.00,100.00,18.00,59.00,86.00,1.00,
11/27/1959,18.288,38°32',121°46',49.00,,245.00,68.00,35.00,51.50,68.00,28.00,48.00,49.00,1.00,
11/28/1959,18.288,38°32',121°46',61.00,,260.00,67.00,28.00,47.50,76.00,30.00,53.00,77.00,1.00,
11/29/1959,18.288,38°32',121°46',53.00,,263.00,67.00,32.00,49.50,72.00,30.00,51.00,55.00,0.97,
11/30/1959,18.288,38°32',121°46',45.00,,236.00,68.00,32.00,50.00,85.00,35.00,60.00,30.00,1.00,
12/1/1959,18.288,38°32',121°46',58.00,,234.00,68.00,32.00,50.00,85.00,34.00,59.50,40.00,1.00,
12/2/1959,18.288,38°32',121°46',48.00,,231.00,68.00,37.00,52.50,70.00,36.00,53.00,46.00,1.00,
12/3/1959,18.288,38°32',121°46',104.00,,234.00,70.00,44.00,57.00,44.00,28.00,36.00,321.00,1.00,
12/4/1959,18.288,38°32',121°46',98.00,,249.00,70.00,34.00,52.00,41.00,26.00,33.50,336.00,1.00,
12/5/1959,18.288,38°32',121°46',72.00,,265.00,66.00,28.00,47.00,57.00,26.00,41.50,73.00,1.00,
12/6/1959,18.288,38°32',121°46',46.00,,261.00,66.00,22.00,44.00,77.00,29.00,53.00,36.00,1.00,
12/7/1959,18.288,38°32',121°46',39.00,,257.00,63.00,25.00,44.00,75.00,26.00,50.50,69.00,1.00,
12/8/1959,18.288,38°32',121°46',34.00,,232.00,61.00,30.00,45.50,79.00,34.00,56.50,38.00,0.98,
12/9/1959,18.288,38°32',121°46',36.00,,154.00,60.00,28.00,44.00,85.00,47.00,66.00,33.00,0.96,
12/10/1959,18.288,38°32',121°46',33.00,,212.00,60.00,28.00,44.00,100.00,41.00,70.50,64.00,0.98,
12/11/1959,18.288,38°32',121°46',22.00,,207.00,60.00,30.00,45.00,100.00,50.00,75.00,115.00,1.00,
12/12/1959,18.288,38°32',121°46',48.00,,155.00,61.00,23.00,42.00,100.00,44.00,72.00,188.00,0.81,0.02
12/13/1959,18.288,38°32',121°46',56.00,,261.00,54.00,41.00,47.50,44.00,27.00,35.50,356.00,0.96,
12/14/1959,18.288,38°32',121°46',69.00,,224.00,64.00,26.00,45.00,89.00,17.00,53.00,201.00,1.00,
12/15/1959,18.288,38°32',121°46',36.00,,239.00,58.00,26.00,42.00,82.00,31.00,56.50,37.00,1.00,
12/16/1959,18.288,38°32',121°46',10.00,,215.00,56.00,33.00,44.50,70.00,34.00,52.00,43.00,0.81,
12/17/1959,18.288,38°32',121°46',4.00,,134.00,57.00,34.00,45.50,84.00,40.00,62.00,45.00,0.05,
12/18/1959,18.288,38°32',121°46',78.00,,230.00,62.00,26.00,44.00,100.00,33.00,66.50,68.00,1.00,
12/19/1959,18.288,38°32',121°46',33.00,,225.00,61.00,33.00,47.00,73.00,35.00,54.00,53.00,1.00,
12/20/1959,18.288,38°32',121°46',18.00,,73.00,53.00,28.00,40.50,99.00,45.00,72.00,49.00,0.12,
12/21/1959,18.288,38°32',121°46',32.00,,207.00,60.00,30.00,45.00,89.00,39.00,64.00,51.00,1.00,
12/22/1959,18.288,38°32',121°46',22.00,,127.00,56.00,43.00,49.50,100.00,65.00,82.50,64.00,0.89,0.21
12/23/1959,18.288,38°32',121°46',127.00,,25.00,49.00,48.00,48.50,100.00,100.00,100.00,84.00,0.00,
12/24/1959,18.288,38°32',121°46',38.00,,51.00,52.00,40.00,46.00,100.00,58.00,79.00,153.00,0.00,
12/25/1959,18.288,38°32',121°46',21.00,,255.00,56.00,37.00,46.50,79.00,45.00,62.00,231.00,0.98,1.34
12/26/1959,18.288,38°32',121°46',43.00,,230.00,53.00,30.00,41.50,100.00,42.00,71.00,87.00,1.00,
12/27/1959,18.288,38°32',121°46',23.00,,162.00,53.00,31.00,42.00,100.00,67.00,83.50,88.00,0.98,
12/28/1959,18.288,38°32',121°46',13.00,,270.00,57.00,28.00,42.50,100.00,40.00,70.00,48.00,0.98,
12/29/1959,18.288,38°32',121°46',50.00,,220.00,52.00,29.00,40.50,100.00,59.00,79.50,51.00,0.91,
12/30/1959,18.288,38°32',121°46',47.00,,82.00,42.00,32.00,37.00,100.00,50.00,75.00,136.00,0.00,0.04
12/31/1959,18.288,38°32',121°46',19.00,,230.00,49.00,27.00,38.00,74.00,57.00,65.50,166.00,1.00,
1/1/1960,18.288,38°32',121°46',47.00,,267.00,47.00,21.00,34.00,100.00,28.00,64.00,116.00,1.00,
1/2/1960,18.288,38°32',121°46',19.00,,194.00,45.00,26.00,35.50,92.00,36.00,64.00,75.00,0.48,
1/3/1960,18.288,38°32',121°46',36.00,,264.00,51.00,35.00,43.00,52.00,30.00,41.00,357.00,1.00,
1/4/1960,18.288,38°32',121°46',67.00,,264.00,56.00,22.00,39.00,100.00,20.00,60.00,93.00,0.98,
1/5/1960,18.288,38°32',121°46',26.00,,248.00,50.00,28.00,39.00,100.00,29.00,64.50,31.00,1.00,
1/6/1960,18.288,38°32',121°46',24.00,,168.00,50.00,31.00,40.50,99.00,36.00,67.50,36.00,0.06,0.08
1/7/1960,18.288,38°32',121°46',36.00,,89.00,52.00,42.00,47.00,100.00,53.00,76.50,211.00,0.00,0.27
1/8/1960,18.288,38°32',121°46',14.00,,83.00,52.00,42.00,47.00,100.00,71.00,85.50,144.00,0.00,0.58
1/9/1960,18.288,38°32',121°46',12.00,,41.00,51.00,42.00,46.50,100.00,78.00,89.00,173.00,0.00,0.04
1/10/1960,18.288,38°32',121°46',13.00,,87.00,49.00,40.00,44.50,100.00,68.00,84.00,87.00,0.00,0.35
1/11/1960,18.288,38°32',121°46',40.00,,52.00,50.00,31.00,40.50,100.00,57.00,78.50,184.00,0.03,
1/12/1960,18.288,38°32',121°46',42.00,,286.00,50.00,24.00,37.00,86.00,46.00,66.00,201.00,1.00,0.16
1/13/1960,18.288,38°32',121°46',50.00,53.90,256.00,48.00,38.00,43.00,100.00,32.00,66.00,176.00,0.69,0.54
1/14/1960,18.288,38°32',121°46',13.00,,71.00,44.00,32.00,38.00,100.00,95.00,97.50,211.00,0.00,
1/15/1960,18.288,38°32',121°46',62.00,,282.00,50.00,35.00,42.50,72.00,45.00,58.50,282.00,1.00,
1/16/1960,18.288,38°32',121°46',56.00,59.90,286.00,53.00,30.00,41.50,100.00,38.00,69.00,107.00,1.00,
1/17/1960,18.288,38°32',121°46',25.00,89.90,227.00,51.00,33.00,42.00,100.00,50.00,75.00,28.00,0.96,
1/18/1960,18.288,38°32',121°46',18.00,70.40,99.00,46.00,36.00,41.00,100.00,58.00,79.00,61.00,0.06,
1/19/1960,18.288,38°32',121°46',31.00,97.40,227.00,54.00,35.00,44.50,100.00,45.00,72.50,64.00,0.69,
1/20/1960,18.288,38°32',121°46',29.00,64.40,180.00,55.00,42.00,48.50,100.00,40.00,70.00,75.00,0.25,0.15
1/21/1960,18.288,38°32',121°46',10.00,,43.00,50.00,44.00,47.00,100.00,76.00,88.00,215.00,0.00,0.60
1/22/1960,18.288,38°32',121°46',29.00,,181.00,61.00,46.00,53.50,100.00,54.00,77.00,99.00,0.62,
1/23/1960,18.288,38°32',121°46',20.00,68.90,124.00,54.00,44.00,49.00,100.00,78.00,89.00,62.00,0.32,0.21
1/24/1960,18.288,38°32',121°46',10.00,,53.00,55.00,51.00,53.00,100.00,97.00,98.50,139.00,0.14,0.32
1/25/1960,18.288,38°32',121°46',56.00,,123.00,58.00,48.00,53.00,100.00,58.00,79.00,216.00,0.19,0.24
1/26/1960,18.288,38°32',121°46',56.00,,227.00,57.00,44.00,50.50,100.00,50.00,75.00,126.00,0.41,0.04
1/27/1960,18.288,38°32',121°46',27.00,,105.00,56.00,47.00,51.50,100.00,59.00,79.50,101.00,0.10,0.01
1/28/1960,18.288,38°32',121°46',40.00,,220.00,62.00,40.00,51.00,100.00,49.00,74.50,46.00,0.64,
1/29/1960,18.288,38°32',121°46',50.00,,206.00,59.00,49.00,54.00,100.00,50.00,75.00,123.00,0.82,0.01
1/30/1960,18.288,38°32',121°46',63.00,,303.00,60.00,38.00,49.00,100.00,55.00,77.50,131.00,0.90,
1/31/1960,18.288,38°32',121°46',28.00,85.40,167.00,56.00,51.00,53.50,100.00,71.00,85.50,131.00,0.27,0.08
2/1/1960,18.288,38°32',121°46',0.00,,70.00,57.00,40.00,48.50,100.00,40.00,70.00,327.00,0.14,1.28
2/2/1960,18.288,38°32',121°46',56.00,,333.00,60.00,44.00,52.00,100.00,31.00,65.50,82.00,1.00,
2/3/1960,18.288,38°32',121°46',0.00,,57.00,53.00,40.00,46.50,100.00,78.00,89.00,188.00,0.00,0.22
2/4/1960,18.288,38°32',121°46',12.00,,142.00,57.00,40.00,48.50,100.00,85.00,92.50,129.00,0.91,0.51
2/5/1960,18.288,38°32',121°46',24.00,,89.00,57.00,50.00,53.50,100.00,69.00,84.50,104.00,0.00,0.05
2/6/1960,18.288,38°32',121°46',39.00,,174.00,60.00,54.00,57.00,100.00,65.00,82.50,145.00,0.14,
2/7/1960,18.288,38°32',121°46',11.00,,46.00,60.00,55.00,57.50,100.00,88.00,94.00,285.00,0.00,0.73
2/8/1960,18.288,38°32',121°46',152.00,,291.00,62.00,52.00,57.00,100.00,49.00,74.50,340.00,0.59,0.11
2/9/1960,18.288,38°32',121°46',81.00,,185.00,56.00,46.00,51.00,100.00,50.00,75.00,235.00,0.79,0.47
2/10/1960,18.288,38°32',121°46',76.00,,333.00,58.00,40.00,49.00,100.00,47.00,73.50,137.00,0.98,
